attack,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,sp_attack,sp_defense,speed,weight_kg
85,35,420,45,70,1250000,1.4,72,65,70,58,50
105,35,600,45,90,1250000,1.8,92,125,90,98,160
85,70,360,45,55,1250000,1.1,55,50,55,60,28.8
60,70,550,15,65,1250000,1.6,85,135,105,100,46
90,35,580,3,129,1250000,2.1,91,90,72,108,250
129,35,580,3,90,1250000,1.9,91,72,90,108,260
90,35,580,3,72,1250000,2,91,90,129,108,200
100,90,580,3,80,1250000,1.5,79,110,90,121,63
105,90,580,3,70,1250000,1.5,79,145,80,101,61
120,0,680,3,100,1250000,3.2,100,150,120,90,330
150,0,680,3,120,1250000,2.9,100,120,100,90,345
145,90,600,3,90,1250000,1.5,89,105,80,91,68
120,0,700,3,90,1250000,3,125,170,100,95,325
72,35,580,3,90,1250000,1.4,91,129,90,108,48.5
128,100,600,3,90,1250000,0.6,100,77,77,128,6.5
120,0,600,3,95,1250000,1.5,71,120,95,99,82.5
61,70,313,45,65,1059860,0.4,56,48,45,38,9
78,70,405,45,95,1059860,0.7,61,56,58,57,29
107,70,530,45,122,1059860,1.6,88,74,75,64,90
45,70,307,45,40,1059860,0.4,40,62,60,60,9.4
59,70,409,45,58,1059860,1,59,90,70,73,14.5
69,70,534,45,72,1059860,1.5,75,114,100,104,39
56,70,314,45,40,1059860,0.3,41,62,44,71,7
63,70,405,45,52,1059860,0.6,54,83,56,97,10.9
145,70,640,45,67,1059860,1.5,72,153,71,132,40
36,70,237,255,38,1000000,0.4,38,32,36,57,5
56,70,423,127,77,1000000,1,85,50,77,78,42.4
50,70,278,255,43,1059860,0.3,45,40,38,62,1.7
73,70,382,120,55,1059860,0.7,62,56,52,84,16
81,70,499,45,71,1059860,1.2,78,74,69,126,24.5
35,70,200,255,40,1000000,0.3,38,27,25,35,2.5
22,70,213,120,60,1000000,0.3,45,27,30,29,8.4
52,70,411,45,50,1000000,1.2,80,90,50,89,17
50,70,369,220,58,1059860,0.6,62,73,54,72,13.5
68,70,507,65,72,1059860,1.5,86,109,66,106,81.5
38,70,303,225,39,1000000,0.1,44,61,79,42,0.1
65,70,551,120,67,1000000,0.2,74,125,128,92,0.9
65,70,552,45,68,1000000,1.1,78,112,154,75,10
65,70,350,200,48,1000000,0.9,66,62,57,52,31
100,70,531,45,62,1000000,1.7,123,97,81,68,91
82,70,348,220,62,1000000,0.6,67,46,48,43,8
124,70,495,65,78,1000000,2.1,95,69,71,58,136
80,70,472,160,60,1000000,1.2,75,65,90,102,28
48,70,355,190,54,1000000,0.3,62,63,60,68,3.5
48,70,466,75,76,1000000,0.6,74,83,81,104,8.5
80,70,325,180,100,1000000,0.8,45,35,37,28,2
110,70,448,90,150,1000000,0.8,59,45,49,35,4.5
150,70,520,45,50,1000000,1.7,60,150,50,60,53
52,70,341,200,60,1000000,0.2,78,63,65,23,0.5
72,70,462,140,72,1000000,0.8,101,99,89,29,15.5
48,70,341,200,66,1000000,0.4,62,59,57,49,3.5
80,70,480,140,86,1000000,0.8,82,85,75,72,5
54,70,288,190,53,1000000,0.4,53,37,46,45,3.5
92,70,482,80,88,1000000,1.5,86,68,75,73,47
52,70,306,120,67,1000000,0.5,42,39,56,50,31
105,70,500,45,115,1000000,1.3,72,54,86,68,96
60,70,320,225,60,1000000,0.5,50,60,60,30,7.3
75,70,494,55,90,1000000,1.8,65,97,123,44,81.5
53,70,330,225,62,1250000,0.5,50,58,63,44,8.3
73,70,500,55,88,1250000,1.3,71,120,89,59,35.3
38,70,289,190,33,1000000,0.5,44,61,43,70,6
55,70,481,75,52,1000000,1,62,109,94,109,21
89,70,362,45,77,1000000,0.8,58,45,45,48,26
121,70,521,45,119,1000000,2.5,82,69,59,71,270
59,70,362,45,50,1000000,1.3,77,67,63,46,25.2
77,70,521,45,72,1000000,2.7,123,99,92,58,225
65,70,525,45,65,1000000,1,95,110,130,60,23.5
92,70,500,100,75,1000000,0.8,78,74,63,118,21.5
58,70,431,180,57,1000000,0.2,67,81,67,101,2.2
50,70,500,60,150,1250000,0.3,50,50,150,50,5.7
50,35,300,45,35,1250000,0.3,45,55,75,40,2.8
75,35,452,45,53,1250000,0.8,68,83,113,60,17.5
100,35,600,45,70,1250000,2,90,110,150,80,150.5
80,70,470,75,91,800000,0.2,57,80,87,75,3
70,70,309,120,48,1000000,0.4,43,50,60,38,7
110,70,474,60,76,1000000,1.5,85,65,82,56,71
66,70,335,120,70,1000000,0.8,59,44,55,41,15
100,70,494,60,122,1000000,1.7,85,58,75,54,39
69,70,304,190,85,1000000,1,55,32,35,28,99.5
117,70,514,55,184,1000000,2,95,44,46,28,505
30,70,245,190,35,1000000,0.5,40,45,40,55,8
70,70,535,45,80,1000000,1.5,85,97,80,123,85
131,0,680,45,95,1250000,3,126,131,98,99,215
131,0,680,45,95,1250000,5.8,126,131,98,99,203
100,0,708,3,121,1250000,5,216,91,95,85,284.6
160,70,700,3,110,1250000,0.7,50,160,110,110,8.8
110,100,600,3,120,1250000,1.7,80,130,90,70,195
55,70,320,45,55,1059860,0.3,68,50,50,42,1.5
75,70,420,45,75,1059860,0.7,78,70,70,52,16
107,70,530,45,75,1059860,1.6,78,100,100,70,36.6
65,70,320,45,40,1059860,0.4,45,60,40,70,4.3
85,70,420,45,50,1059860,0.7,65,80,50,90,25
115,70,530,45,90,1059860,1.8,95,80,90,60,83
54,70,320,45,54,1059860,0.4,50,66,56,40,7.5
69,70,420,45,69,1059860,0.6,60,91,81,50,17.5
74,70,530,45,74,1059860,1.8,80,126,116,60,44
75,70,265,255,30,1000000,0.3,35,30,30,65,1.2
85,70,355,120,50,1000000,0.6,55,40,50,75,14.8
120,70,485,45,75,1000000,1.1,80,75,75,60,26
70,70,253,255,30,1000000,0.4,48,30,30,45,6
110,70,418,127,60,1000000,0.7,88,55,60,45,14.2
62,70,300,255,45,1000000,0.4,47,55,45,46,4.4
82,70,400,120,95,1000000,0.5,57,55,75,36,10.5
70,70,500,45,90,1000000,1.5,77,145,75,43,45
82,70,338,225,57,1000000,0.6,47,42,47,63,7
132,70,478,60,77,1000000,1.7,97,62,67,43,180
70,70,476,45,70,1000000,0.6,75,98,70,93,3.4
45,70,304,190,40,1000000,0.1,40,55,40,84,0.2
55,70,464,75,60,1000000,0.2,60,95,70,124,0.5
65,70,280,190,40,1000000,0.5,45,30,40,60,9.2
140,70,620,60,130,800000,0.2,45,140,135,30,0.3
53,70,305,190,62,1000000,0.4,50,43,52,45,8
63,70,495,75,152,1000000,0.7,50,53,142,35,14.5
100,70,385,190,70,1000000,1,70,45,55,45,110
125,70,500,60,100,1000000,2.5,100,55,85,35,920
40,70,269,200,52,1000000,0.3,38,40,72,27,4
70,70,454,100,92,1000000,1.8,68,50,132,42,82
55,70,250,190,35,1000000,0.3,40,50,35,35,1.5
105,70,480,75,90,1000000,0.9,70,80,90,45,18.5
35,70,285,190,55,1000000,0.2,40,65,75,15,1.5
45,70,405,75,80,1000000,1,60,90,100,30,11.5
44,70,320,120,40,1000000,0.6,48,71,40,77,4.8
64,70,480,45,60,1000000,1.2,68,111,60,117,22.2
75,70,340,140,50,1000000,0.5,70,45,50,50,6.8
125,70,500,70,80,1000000,2.1,120,55,60,60,135
30,70,210,235,38,1059860,0.3,42,30,38,32,3.2
40,70,290,120,48,1059860,0.7,52,40,48,62,8.2
120,70,510,45,98,1059860,1.2,72,50,98,72,21.4
52,70,485,60,90,800000,0.1,51,82,110,100,0.3
60,70,490,45,80,1250000,1.5,90,90,110,60,76
120,70,490,45,90,1250000,2,100,40,60,80,82.8
35,70,230,90,40,1000000,0.5,25,20,30,80,12
125,70,530,45,140,1000000,2,75,60,90,40,108
55,70,320,140,80,1000000,0.5,55,70,45,15,70
75,70,480,60,110,1000000,1.3,85,100,75,35,250
60,70,410,60,130,800000,0.3,55,30,130,5,1.2
95,0,534,3,95,1250000,1.9,95,95,95,59,120.5
95,0,570,3,95,1250000,2.3,95,95,95,95,100.5
100,70,500,30,60,1059860,0.3,60,100,60,120,40
115,70,480,45,65,1250000,0.4,65,75,95,65,19.9
78,70,485,70,135,1000000,2,60,91,85,36,212
98,70,435,180,63,1000000,0.3,65,40,73,96,3.3
90,70,476,45,80,1000000,0.2,55,50,105,96,0.7
105,70,475,80,70,1000000,0.9,68,70,70,92,19
60,70,485,70,85,1000000,3,78,135,91,36,185
131,70,517,25,100,1000000,3.9,70,86,90,40,210
55,70,300,45,65,1250000,0.6,45,45,45,45,29.7
75,70,420,45,90,1250000,1.2,55,65,70,65,47
110,70,600,45,125,1250000,1.6,75,100,105,85,78.2
115,70,570,3,85,1250000,1.8,70,95,75,130,20.5
85,70,570,3,75,1250000,1.2,70,130,115,95,18.6
130,70,570,3,115,1250000,1.9,70,85,95,75,45.5
75,70,570,3,115,1250000,1.3,70,95,130,85,21.2
29,0,200,45,31,1250000,0.2,43,29,31,37,0.1
29,0,400,45,131,1250000,0.1,43,29,131,37,999.9
137,0,680,45,107,1250000,3.4,137,113,89,97,230
113,0,680,45,89,1250000,4,137,137,107,97,120
53,0,570,45,47,1250000,1.2,109,127,131,103,55.5
139,0,570,25,139,1250000,2.4,107,53,53,79,333.6
137,0,570,255,37,1250000,1.8,71,137,37,151,25
89,0,570,30,71,1250000,3.8,83,173,71,83,100
101,0,570,25,103,1250000,9.2,97,107,101,61,999.9
181,0,570,255,131,1250000,0.3,59,59,31,109,0.1
101,0,570,15,53,1250000,5.5,223,97,53,43,888
107,0,600,3,101,1250000,2.4,97,127,89,79,230
95,0,600,3,115,1250000,1,80,130,115,65,80.5
